episode,step,action,empty_cells,times_max_reduced,times_other_reduced,max_tile_val,special_pos_row,special_pos_col,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11,next_12,next_13,next_14,next_15
47,0,Down,13,0,0,2,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2
47,1,Right,13,0,0,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
47,2,Down,12,0,0,4,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,4
47,3,Left,11,0,0,4,1,1,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,2,4,2,0
47,4,Right,10,0,0,4,1,1,0,0,0,0,2,0,0,0,2,0,0,0,2,4,2,0,2,0,0,0,0,0,0,2,0,0,0,2,0,2,4,2
47,5,Down,10,0,0,4,1,1,2,0,0,0,0,0,0,2,0,0,0,2,0,2,4,2,0,0,0,0,0,0,2,0,0,0,0,2,2,2,4,4
47,6,Left,11,0,0,8,1,1,0,0,0,0,0,0,2,0,0,0,0,2,2,2,4,4,0,0,0,0,2,0,2,0,2,0,0,0,4,8,0,0
47,7,Up,11,0,0,8,1,1,0,0,0,0,2,0,2,0,2,0,0,0,4,8,0,0,4,8,2,0,4,0,0,0,0,0,0,0,0,0,0,2
47,8,Right,10,0,0,8,1,1,4,8,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,8,2,0,0,0,4,0,0,0,0,0,2,0,2
47,9,Down,9,0,0,8,1,1,0,4,8,2,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,4,0,4,0,2,8,2
47,10,Left,9,0,0,8,1,1,0,0,0,0,0,0,0,2,2,4,0,4,0,2,8,2,0,0,0,0,2,0,2,0,2,8,0,0,2,8,2,0
47,11,Up,11,0,0,16,1,1,0,0,0,0,2,0,2,0,2,8,0,0,2,8,2,0,4,16,4,0,2,0,0,0,0,0,0,0,2,0,0,0
47,12,Right,10,0,0,16,1,1,4,16,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,16,4,0,2,0,2,0,0,0,0,0,0,0,2
47,13,Left,10,0,0,16,1,1,0,4,16,4,0,2,0,2,0,0,0,0,0,0,0,2,4,16,4,0,4,0,0,0,0,0,0,0,2,2,0,0
47,14,Right,10,0,0,16,1,1,4,16,4,0,4,0,0,0,0,0,0,0,2,2,0,0,0,4,16,4,0,0,0,4,0,0,0,2,0,0,0,4
47,15,Down,10,0,0,16,1,1,0,4,16,4,0,0,0,4,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,2,2,4,16,4
47,16,Up,9,0,0,16,1,1,0,0,0,0,0,0,0,8,0,0,0,2,2,4,16,4,2,4,16,8,0,0,2,2,0,0,0,4,0,0,0,0
47,17,Left,9,0,0,16,1,1,2,4,16,8,0,0,2,2,0,0,0,4,0,0,0,0,2,4,16,8,4,2,0,0,4,0,0,0,0,0,0,0
47,18,Right,8,0,0,16,1,1,2,4,16,8,4,2,0,0,4,0,0,0,0,0,0,0,2,4,16,8,0,0,4,2,2,0,0,4,0,0,0,0
47,19,Down,8,0,0,16,1,1,2,4,16,8,0,0,4,2,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,8,0,0,16,2,4,4,4,4
47,20,Left,9,0,0,16,1,1,0,2,0,0,0,0,0,8,0,0,16,2,4,4,4,4,2,0,0,2,8,0,0,0,16,2,0,0,8,8,0,0
47,21,Up,8,0,0,16,1,1,2,0,0,2,8,0,0,0,16,2,0,0,8,8,0,0,2,2,2,2,8,4,0,0,16,0,0,0,8,0,0,0
47,22,Left,9,0,1,16,1,1,2,2,2,2,8,4,0,0,16,0,0,0,8,0,0,0,4,4,0,0,8,2,0,0,16,0,0,0,8,2,0,0
47,23,Down,9,0,1,16,1,1,4,4,0,0,8,2,0,0,16,0,0,0,8,2,0,0,4,0,0,0,8,0,0,0,16,4,0,2,8,4,0,0
47,24,Right,8,0,1,16,1,1,4,0,0,0,8,0,0,0,16,4,0,2,8,4,0,0,0,0,0,4,0,0,0,8,0,16,4,2,0,2,8,4
47,25,Up,7,0,1,16,1,1,0,0,0,4,0,0,0,8,0,16,4,2,0,2,8,4,0,16,4,4,0,2,8,8,2,0,0,2,0,0,0,4
47,26,Left,9,0,1,16,1,1,0,16,4,4,0,2,8,8,2,0,0,2,0,0,0,4,16,8,0,0,2,8,0,0,4,0,0,0,4,0,0,2
