game_id,special_pos,steps,max_tile,game_state,max_tile_stay_uses,other_tile_stay_uses,stay_util_max,stay_util_other,max_tile_halve_uses,other_tile_halve_uses,halve_util_max,halve_util_other,max_tile_peak,stopped_early
1,"(2, 2)",500,64,not over,4,315,0.008,0.63,4,211,0.008,0.422,64,False
2,"(1, 2)",214,64,lose,2,97,0.009345794392523364,0.4532710280373832,1,62,0.004672897196261682,0.2897196261682243,64,True
3,"(1, 2)",500,32,not over,0,438,0.0,0.876,0,421,0.0,0.842,32,False
4,"(2, 2)",500,32,not over,0,451,0.0,0.902,0,447,0.0,0.894,32,False
5,"(1, 2)",500,64,not over,0,416,0.0,0.832,0,366,0.0,0.732,64,False
6,"(2, 2)",500,64,not over,1,259,0.002,0.518,1,199,0.002,0.398,128,False
7,"(1, 2)",168,128,lose,1,91,0.005952380952380952,0.5416666666666666,1,29,0.005952380952380952,0.17261904761904762,128,True
8,"(2, 2)",500,64,not over,2,321,0.004,0.642,2,272,0.004,0.544,64,False
9,"(2, 1)",500,64,not over,0,410,0.0,0.82,0,399,0.0,0.798,64,False
10,"(2, 1)",500,128,not over,0,371,0.0,0.742,0,357,0.0,0.714,128,False
11,"(2, 1)",199,64,lose,0,108,0.0,0.542713567839196,0,56,0.0,0.2814070351758794,64,True
12,"(1, 2)",500,32,not over,11,226,0.022,0.452,11,182,0.022,0.364,64,False
13,"(2, 1)",500,128,not over,1,417,0.002,0.834,1,342,0.002,0.684,128,False
14,"(2, 1)",500,32,not over,0,452,0.0,0.904,0,417,0.0,0.834,32,False
15,"(1, 2)",500,32,not over,0,444,0.0,0.888,0,417,0.0,0.834,32,False
16,"(1, 1)",238,128,lose,1,112,0.004201680672268907,0.47058823529411764,0,65,0.0,0.27310924369747897,128,True
17,"(2, 1)",500,64,not over,3,384,0.006,0.768,3,315,0.006,0.63,64,False
18,"(2, 1)",500,128,not over,0,393,0.0,0.786,0,365,0.0,0.73,128,False
19,"(2, 2)",500,128,not over,0,339,0.0,0.678,0,216,0.0,0.432,128,False
20,"(1, 2)",166,32,lose,3,65,0.018072289156626505,0.39156626506024095,3,43,0.018072289156626505,0.25903614457831325,64,True
21,"(1, 2)",500,32,not over,9,241,0.018,0.482,9,171,0.018,0.342,128,False
22,"(2, 2)",500,64,not over,2,288,0.004,0.576,2,239,0.004,0.478,64,False
23,"(1, 2)",500,64,not over,8,286,0.016,0.572,6,190,0.012,0.38,64,False
24,"(1, 2)",500,32,not over,2,390,0.004,0.78,2,371,0.004,0.742,64,False
25,"(2, 1)",500,32,not over,0,454,0.0,0.908,0,440,0.0,0.88,32,False
26,"(2, 2)",162,32,lose,0,83,0.0,0.5123456790123457,0,50,0.0,0.30864197530864196,32,True
27,"(1, 1)",500,64,not over,3,310,0.006,0.62,3,293,0.006,0.586,128,False
28,"(2, 1)",178,64,lose,0,90,0.0,0.5056179775280899,0,55,0.0,0.3089887640449438,64,True
29,"(1, 2)",500,32,not over,5,398,0.01,0.796,5,364,0.01,0.728,64,False
30,"(1, 2)",500,64,not over,4,296,0.008,0.592,4,235,0.008,0.47,64,False
31,"(1, 2)",176,64,lose,0,83,0.0,0.4715909090909091,0,48,0.0,0.2727272727272727,64,True
32,"(2, 1)",120,32,lose,3,54,0.025,0.45,1,22,0.008333333333333333,0.18333333333333332,64,True
33,"(1, 2)",500,64,not over,2,244,0.004,0.488,1,160,0.002,0.32,64,False
34,"(2, 2)",306,64,lose,0,201,0.0,0.6568627450980392,0,114,0.0,0.37254901960784315,64,True
35,"(2, 2)",500,64,not over,0,431,0.0,0.862,0,404,0.0,0.808,64,False
36,"(2, 2)",500,64,not over,0,450,0.0,0.9,0,433,0.0,0.866,64,False
37,"(2, 1)",500,32,not over,0,465,0.0,0.93,0,438,0.0,0.876,32,False
38,"(2, 1)",500,64,not over,0,452,0.0,0.904,0,390,0.0,0.78,64,False
39,"(2, 2)",319,64,lose,2,188,0.006269592476489028,0.5893416927899686,2,118,0.006269592476489028,0.36990595611285265,64,True
40,"(1, 2)",372,64,lose,7,168,0.01881720430107527,0.45161290322580644,7,107,0.01881720430107527,0.28763440860215056,64,True
41,"(1, 1)",214,64,lose,3,134,0.014018691588785047,0.6261682242990654,3,57,0.014018691588785047,0.26635514018691586,64,True
42,"(2, 2)",500,32,not over,2,370,0.004,0.74,2,329,0.004,0.658,64,False
43,"(2, 1)",500,64,not over,0,438,0.0,0.876,0,421,0.0,0.842,64,False
44,"(1, 2)",120,64,lose,0,54,0.0,0.45,0,28,0.0,0.23333333333333334,64,True
45,"(2, 1)",500,32,not over,0,446,0.0,0.892,0,449,0.0,0.898,32,False
46,"(2, 2)",500,64,not over,1,402,0.002,0.804,1,383,0.002,0.766,64,False
47,"(1, 2)",234,32,lose,1,148,0.004273504273504274,0.6324786324786325,0,78,0.0,0.3333333333333333,64,True
48,"(1, 1)",460,32,lose,8,285,0.017391304347826087,0.6195652173913043,7,165,0.015217391304347827,0.358695652173913,64,True
49,"(1, 2)",500,64,not over,2,399,0.004,0.798,2,354,0.004,0.708,64,False
50,"(2, 1)",500,64,not over,1,403,0.002,0.806,0,370,0.0,0.74,64,False
