game_id,special_pos,steps,max_tile,game_state,max_tile_stay_uses,other_tile_stay_uses,stay_util_max,stay_util_other,max_tile_halve_uses,other_tile_halve_uses,halve_util_max,halve_util_other,max_tile_peak,stopped_early
1,"(2, 2)",500,256,not over,1,87,0.002,0.174,1,72,0.002,0.144,256,False
2,"(2, 2)",500,64,not over,5,60,0.01,0.12,5,40,0.01,0.08,256,False
3,"(2, 2)",500,256,not over,9,38,0.018,0.076,6,37,0.012,0.074,256,False
4,"(1, 2)",500,64,not over,5,139,0.01,0.278,4,113,0.008,0.226,128,False
5,"(2, 1)",500,64,not over,6,157,0.012,0.314,6,101,0.012,0.202,128,False
6,"(1, 2)",500,256,not over,4,121,0.008,0.242,4,90,0.008,0.18,256,False
7,"(1, 2)",500,256,not over,0,217,0.0,0.434,0,149,0.0,0.298,256,False
8,"(1, 2)",500,64,not over,12,99,0.024,0.198,8,68,0.016,0.136,256,False
9,"(1, 1)",500,64,not over,8,152,0.016,0.304,6,109,0.012,0.218,128,False
10,"(1, 1)",500,64,not over,7,124,0.014,0.248,7,97,0.014,0.194,128,False
11,"(2, 1)",500,64,not over,9,64,0.018,0.128,9,49,0.018,0.098,256,False
12,"(2, 1)",500,128,not over,2,179,0.004,0.358,2,128,0.004,0.256,256,False
13,"(2, 2)",500,128,not over,3,46,0.006,0.092,2,44,0.004,0.088,128,False
14,"(2, 1)",500,128,not over,5,121,0.01,0.242,5,78,0.01,0.156,256,False
15,"(2, 1)",500,32,not over,8,84,0.016,0.168,8,70,0.016,0.14,256,False
16,"(2, 1)",500,128,not over,4,118,0.008,0.236,2,99,0.004,0.198,128,False
17,"(1, 2)",500,128,not over,8,102,0.016,0.204,5,101,0.01,0.202,128,False
18,"(2, 1)",500,128,not over,3,165,0.006,0.33,3,106,0.006,0.212,128,False
19,"(1, 2)",500,128,not over,9,114,0.018,0.228,8,91,0.016,0.182,128,False
20,"(1, 2)",500,64,not over,4,128,0.008,0.256,4,108,0.008,0.216,128,False
21,"(1, 2)",500,256,not over,0,149,0.0,0.298,0,101,0.0,0.202,256,False
22,"(1, 1)",500,32,not over,9,157,0.018,0.314,8,109,0.016,0.218,128,False
23,"(1, 2)",500,64,not over,8,128,0.016,0.256,8,100,0.016,0.2,128,False
24,"(2, 2)",500,256,not over,1,80,0.002,0.16,1,56,0.002,0.112,256,False
25,"(2, 2)",500,128,not over,4,88,0.008,0.176,4,71,0.008,0.142,128,False
26,"(2, 1)",500,128,not over,7,85,0.014,0.17,5,66,0.01,0.132,128,False
27,"(2, 1)",500,64,not over,1,155,0.002,0.31,1,120,0.002,0.24,256,False
28,"(2, 1)",500,128,not over,4,145,0.008,0.29,4,97,0.008,0.194,256,False
29,"(2, 2)",500,128,not over,3,67,0.006,0.134,3,45,0.006,0.09,256,False
30,"(2, 2)",500,64,not over,8,54,0.016,0.108,8,40,0.016,0.08,256,False
31,"(1, 2)",500,128,not over,5,166,0.01,0.332,5,121,0.01,0.242,256,False
32,"(2, 1)",500,128,not over,3,166,0.006,0.332,3,125,0.006,0.25,128,False
33,"(2, 2)",500,128,not over,4,88,0.008,0.176,4,74,0.008,0.148,128,False
34,"(2, 2)",500,256,not over,2,65,0.004,0.13,1,60,0.002,0.12,256,False
35,"(2, 2)",500,64,not over,5,56,0.01,0.112,5,57,0.01,0.114,128,False
36,"(1, 1)",500,128,not over,11,100,0.022,0.2,10,84,0.02,0.168,128,False
37,"(1, 1)",500,128,not over,10,123,0.02,0.246,8,85,0.016,0.17,256,False
38,"(2, 2)",500,128,not over,9,67,0.018,0.134,7,54,0.014,0.108,128,False
39,"(1, 2)",500,128,not over,4,197,0.008,0.394,3,143,0.006,0.286,256,False
40,"(2, 2)",500,512,not over,2,46,0.004,0.092,2,39,0.004,0.078,512,False
41,"(1, 2)",500,64,not over,7,101,0.014,0.202,7,83,0.014,0.166,128,False
42,"(1, 1)",500,64,not over,6,172,0.012,0.344,6,130,0.012,0.26,128,False
43,"(2, 1)",500,128,not over,6,124,0.012,0.248,4,94,0.008,0.188,128,False
44,"(1, 1)",500,32,not over,11,124,0.022,0.248,8,92,0.016,0.184,128,False
45,"(1, 1)",500,128,not over,5,170,0.01,0.34,5,109,0.01,0.218,128,False
46,"(1, 1)",500,128,not over,5,122,0.01,0.244,4,90,0.008,0.18,128,False
47,"(1, 2)",294,64,lose,2,102,0.006802721088435374,0.3469387755102041,1,77,0.003401360544217687,0.2619047619047619,128,True
48,"(2, 1)",500,128,not over,6,117,0.012,0.234,6,86,0.012,0.172,128,False
49,"(2, 1)",500,256,not over,4,136,0.008,0.272,4,104,0.008,0.208,256,False
50,"(1, 2)",500,256,not over,0,183,0.0,0.366,0,130,0.0,0.26,256,False
