game_id,special_pos,steps,max_tile,game_state,max_tile_stay_uses,other_tile_stay_uses,stay_util_max,stay_util_other,max_tile_halve_uses,other_tile_halve_uses,halve_util_max,halve_util_other,max_tile_peak,stopped_early
1,"(1, 1)",500,256,not over,0,415,0.0,0.83,0,220,0.0,0.44,256,False
2,"(2, 1)",500,256,not over,0,201,0.0,0.402,0,104,0.0,0.208,256,False
3,"(2, 2)",500,256,not over,0,162,0.0,0.324,0,134,0.0,0.268,256,False
4,"(1, 2)",500,256,not over,0,343,0.0,0.686,0,189,0.0,0.378,256,False
5,"(1, 2)",500,512,not over,0,276,0.0,0.552,0,143,0.0,0.286,512,False
6,"(2, 2)",500,512,not over,0,45,0.0,0.09,0,30,0.0,0.06,512,False
7,"(1, 1)",500,256,not over,0,386,0.0,0.772,0,229,0.0,0.458,256,False
8,"(2, 1)",500,128,not over,2,303,0.004,0.606,2,267,0.004,0.534,128,False
9,"(2, 2)",500,512,not over,0,95,0.0,0.19,0,48,0.0,0.096,512,False
10,"(1, 1)",500,256,not over,0,423,0.0,0.846,0,224,0.0,0.448,256,False
11,"(1, 1)",500,256,not over,0,421,0.0,0.842,0,226,0.0,0.452,256,False
12,"(2, 1)",500,512,not over,0,173,0.0,0.346,0,84,0.0,0.168,512,False
13,"(2, 1)",500,256,not over,0,288,0.0,0.576,0,176,0.0,0.352,256,False
14,"(1, 2)",500,256,not over,0,280,0.0,0.56,0,199,0.0,0.398,256,False
15,"(2, 1)",500,128,not over,0,333,0.0,0.666,0,292,0.0,0.584,128,False
16,"(1, 1)",500,256,not over,0,416,0.0,0.832,0,191,0.0,0.382,256,False
17,"(1, 1)",500,256,not over,0,413,0.0,0.826,0,211,0.0,0.422,256,False
18,"(1, 2)",500,256,not over,0,247,0.0,0.494,0,136,0.0,0.272,256,False
19,"(1, 1)",500,256,not over,0,401,0.0,0.802,0,210,0.0,0.42,256,False
20,"(1, 1)",500,256,not over,0,443,0.0,0.886,0,217,0.0,0.434,256,False
21,"(2, 1)",500,128,not over,0,333,0.0,0.666,0,325,0.0,0.65,128,False
22,"(1, 2)",500,256,not over,0,282,0.0,0.564,0,176,0.0,0.352,256,False
23,"(2, 2)",500,512,not over,0,93,0.0,0.186,0,61,0.0,0.122,512,False
24,"(2, 2)",500,256,not over,0,138,0.0,0.276,0,98,0.0,0.196,256,False
25,"(1, 2)",500,256,not over,0,274,0.0,0.548,0,166,0.0,0.332,256,False
26,"(2, 2)",500,512,not over,0,43,0.0,0.086,0,48,0.0,0.096,512,False
27,"(1, 2)",500,256,not over,0,308,0.0,0.616,0,228,0.0,0.456,256,False
28,"(1, 1)",500,256,not over,0,428,0.0,0.856,0,204,0.0,0.408,256,False
29,"(2, 2)",500,512,not over,0,122,0.0,0.244,0,72,0.0,0.144,512,False
30,"(1, 2)",500,512,not over,0,163,0.0,0.326,0,93,0.0,0.186,512,False
31,"(1, 1)",500,256,not over,0,385,0.0,0.77,0,231,0.0,0.462,256,False
32,"(2, 1)",500,256,not over,0,276,0.0,0.552,0,158,0.0,0.316,256,False
33,"(2, 1)",500,512,not over,0,214,0.0,0.428,0,107,0.0,0.214,512,False
34,"(2, 1)",500,256,not over,0,252,0.0,0.504,0,190,0.0,0.38,256,False
35,"(1, 1)",500,256,not over,0,435,0.0,0.87,0,250,0.0,0.5,256,False
36,"(2, 1)",500,256,not over,0,255,0.0,0.51,0,215,0.0,0.43,256,False
37,"(1, 2)",500,128,not over,2,330,0.004,0.66,2,192,0.004,0.384,256,False
38,"(1, 2)",500,256,not over,0,325,0.0,0.65,0,171,0.0,0.342,256,False
39,"(2, 2)",500,512,not over,0,81,0.0,0.162,0,71,0.0,0.142,512,False
40,"(1, 2)",500,256,not over,0,302,0.0,0.604,0,184,0.0,0.368,256,False
41,"(1, 1)",500,64,not over,0,457,0.0,0.914,0,440,0.0,0.88,64,False
42,"(2, 1)",500,256,not over,0,263,0.0,0.526,0,161,0.0,0.322,256,False
43,"(1, 1)",500,64,not over,0,469,0.0,0.938,0,425,0.0,0.85,64,False
44,"(1, 1)",500,128,not over,0,417,0.0,0.834,0,213,0.0,0.426,128,False
45,"(1, 2)",500,256,not over,0,285,0.0,0.57,0,221,0.0,0.442,256,False
46,"(2, 1)",500,256,not over,0,197,0.0,0.394,0,130,0.0,0.26,256,False
47,"(1, 1)",500,256,not over,0,429,0.0,0.858,0,242,0.0,0.484,256,False
48,"(1, 1)",500,128,not over,0,464,0.0,0.928,0,318,0.0,0.636,128,False
49,"(1, 1)",500,256,not over,0,431,0.0,0.862,0,227,0.0,0.454,256,False
50,"(1, 1)",500,128,not over,0,449,0.0,0.898,0,395,0.0,0.79,128,False
