game_id,special_pos,steps,max_tile,game_result,steps_without_increase
1,"(1, 1)",207,64,lose,119
2,"(2, 1)",607,128,stuck,500
3,"(2, 2)",296,128,lose,145
4,"(1, 2)",123,64,lose,34
5,"(2, 1)",589,64,stuck,500
6,"(1, 1)",274,128,lose,154
7,"(1, 1)",247,256,win,0
8,"(1, 1)",285,128,lose,151
9,"(2, 2)",216,128,lose,74
10,"(2, 1)",632,128,stuck,500
11,"(2, 2)",265,128,lose,106
12,"(1, 2)",105,32,lose,66
13,"(2, 2)",336,128,lose,154
14,"(2, 1)",582,64,stuck,500
15,"(2, 2)",110,64,lose,47
16,"(2, 1)",624,128,stuck,500
17,"(2, 1)",591,128,stuck,500
18,"(2, 2)",139,64,lose,76
19,"(2, 1)",618,128,stuck,500
20,"(1, 1)",212,128,lose,66
21,"(1, 1)",220,256,win,0
22,"(2, 2)",270,128,lose,144
23,"(2, 2)",312,256,win,0
24,"(1, 2)",116,64,lose,44
25,"(1, 2)",127,64,lose,61
26,"(1, 1)",225,256,win,0
27,"(2, 1)",608,128,stuck,500
28,"(2, 1)",651,128,stuck,500
29,"(1, 1)",243,128,lose,139
30,"(1, 1)",221,128,lose,128
31,"(2, 1)",616,128,stuck,500
32,"(1, 2)",109,64,lose,33
33,"(1, 2)",289,256,win,0
34,"(1, 1)",623,128,stuck,500
35,"(1, 2)",182,128,lose,33
36,"(1, 2)",120,64,lose,49
37,"(2, 2)",330,128,lose,202
38,"(1, 2)",172,128,lose,23
39,"(2, 1)",643,128,stuck,500
40,"(1, 1)",663,128,stuck,500
41,"(2, 2)",184,128,lose,38
42,"(2, 1)",595,128,stuck,500
43,"(2, 1)",203,256,win,0
44,"(1, 2)",122,64,lose,52
45,"(2, 2)",131,64,lose,43
46,"(2, 2)",240,64,lose,126
47,"(2, 2)",335,128,lose,176
48,"(2, 1)",641,128,stuck,500
49,"(2, 1)",589,128,stuck,500
50,"(2, 2)",269,256,win,0
