game_id,special_pos,steps,max_tile,game_result,steps_without_increase
1,"(1, 1)",603,16,stuck,500
2,"(2, 2)",242,64,lose,130
3,"(1, 1)",615,64,stuck,500
4,"(2, 1)",660,128,stuck,500
5,"(2, 2)",689,64,stuck,500
6,"(2, 1)",256,128,lose,64
7,"(2, 2)",184,64,lose,92
8,"(1, 1)",135,32,lose,95
9,"(1, 1)",66,32,lose,44
10,"(1, 1)",564,32,stuck,500
11,"(2, 2)",681,64,stuck,500
12,"(1, 2)",708,32,stuck,500
13,"(2, 1)",607,64,stuck,500
14,"(2, 1)",134,64,lose,80
15,"(2, 1)",572,64,stuck,500
16,"(1, 2)",670,64,stuck,500
17,"(2, 1)",322,128,lose,127
18,"(2, 2)",570,64,stuck,500
19,"(2, 2)",208,64,lose,102
20,"(1, 2)",502,64,lose,393
21,"(2, 1)",235,128,lose,57
22,"(1, 1)",264,32,lose,218
23,"(2, 1)",580,64,stuck,500
24,"(1, 2)",762,64,lose,219
25,"(1, 1)",557,64,stuck,500
26,"(2, 2)",729,64,stuck,500
27,"(1, 2)",230,32,lose,175
28,"(2, 2)",642,64,stuck,500
29,"(1, 2)",532,32,stuck,500
30,"(1, 2)",364,64,lose,213
31,"(2, 2)",572,64,stuck,500
32,"(1, 2)",597,64,stuck,500
33,"(2, 1)",557,16,stuck,500
34,"(1, 2)",544,32,stuck,500
35,"(2, 2)",207,64,lose,129
36,"(2, 2)",629,64,stuck,500
37,"(2, 1)",583,64,stuck,500
38,"(2, 2)",84,32,lose,56
39,"(2, 1)",340,128,lose,54
40,"(2, 2)",214,32,lose,142
41,"(2, 1)",158,64,lose,67
42,"(1, 1)",521,32,stuck,500
43,"(1, 2)",961,128,stuck,500
44,"(1, 2)",529,32,stuck,500
45,"(2, 2)",674,64,stuck,500
46,"(1, 1)",532,32,stuck,500
47,"(1, 1)",669,64,stuck,500
48,"(1, 1)",566,64,stuck,500
49,"(2, 2)",876,128,stuck,500
50,"(2, 1)",528,32,stuck,500
