game_id,special_pos,steps,max_tile,game_result,steps_without_increase
1,"(2, 1)",326,256,win,0
2,"(2, 1)",227,256,win,0
3,"(2, 2)",215,256,win,0
4,"(1, 1)",453,256,win,0
5,"(2, 2)",213,256,win,0
6,"(1, 2)",569,256,win,0
7,"(1, 2)",601,128,stuck,500
8,"(2, 1)",390,256,win,0
9,"(1, 1)",678,64,stuck,500
10,"(1, 2)",487,256,win,0
11,"(1, 2)",591,256,win,0
12,"(2, 2)",327,256,win,0
13,"(1, 2)",591,128,stuck,500
14,"(2, 2)",184,256,win,0
15,"(1, 1)",813,64,stuck,500
16,"(2, 2)",161,256,win,0
17,"(1, 2)",257,256,win,0
18,"(1, 1)",652,64,stuck,500
19,"(1, 2)",624,64,stuck,500
20,"(2, 1)",244,256,win,0
21,"(1, 1)",621,128,stuck,500
22,"(1, 2)",665,128,stuck,500
23,"(1, 1)",450,256,win,0
24,"(1, 2)",219,256,win,0
25,"(2, 1)",361,256,win,0
26,"(1, 1)",655,128,stuck,500
27,"(1, 2)",327,256,win,0
28,"(1, 1)",341,256,win,0
29,"(2, 2)",358,256,win,0
30,"(1, 1)",640,64,stuck,500
31,"(1, 1)",315,256,win,0
32,"(1, 2)",200,256,win,0
33,"(1, 2)",347,256,win,0
34,"(2, 1)",193,256,win,0
35,"(2, 2)",401,256,win,0
36,"(2, 2)",415,256,win,0
37,"(1, 2)",789,128,stuck,500
38,"(1, 2)",617,64,stuck,500
39,"(1, 2)",259,256,win,0
40,"(1, 1)",334,256,win,0
41,"(2, 1)",170,256,win,0
42,"(2, 1)",203,256,win,0
43,"(1, 1)",694,128,stuck,500
44,"(1, 2)",181,256,win,0
45,"(1, 2)",365,256,win,0
46,"(1, 1)",281,256,win,0
47,"(2, 2)",145,256,win,0
48,"(1, 1)",620,64,stuck,500
49,"(2, 2)",320,256,win,0
50,"(1, 2)",679,128,stuck,500
