game_id,special_pos,steps,max_tile,game_result,steps_without_increase
1,"(1, 1)",231,256,win,0
2,"(1, 1)",406,256,win,0
3,"(2, 2)",201,256,win,0
4,"(1, 1)",248,256,win,0
5,"(2, 1)",165,256,win,0
6,"(2, 2)",162,256,win,0
7,"(2, 2)",186,256,win,0
8,"(1, 1)",635,128,stuck,500
9,"(1, 1)",388,256,win,0
10,"(2, 2)",201,256,win,0
11,"(2, 2)",184,256,win,0
12,"(1, 1)",655,128,stuck,500
13,"(2, 2)",242,256,win,0
14,"(1, 2)",235,256,win,0
15,"(1, 2)",600,128,stuck,500
16,"(1, 2)",600,128,stuck,500
17,"(2, 1)",198,256,win,0
18,"(2, 1)",175,256,win,0
19,"(2, 2)",150,256,win,0
20,"(2, 2)",161,256,win,0
21,"(2, 2)",186,256,win,0
22,"(1, 1)",312,256,win,0
23,"(1, 2)",284,256,win,0
24,"(1, 1)",583,64,stuck,500
25,"(2, 1)",152,256,win,0
26,"(2, 2)",205,256,win,0
27,"(2, 1)",170,256,win,0
28,"(2, 1)",313,256,win,0
29,"(1, 2)",239,256,win,0
30,"(1, 1)",559,64,stuck,500
31,"(1, 1)",260,256,win,0
32,"(2, 2)",201,256,win,0
33,"(2, 1)",209,256,win,0
34,"(1, 2)",643,256,win,0
35,"(2, 2)",167,256,win,0
36,"(2, 1)",399,256,win,0
37,"(1, 1)",298,256,win,0
38,"(2, 1)",593,128,stuck,500
39,"(2, 1)",410,256,win,0
40,"(1, 2)",172,256,win,0
41,"(2, 2)",146,256,win,0
42,"(2, 1)",201,256,win,0
43,"(2, 2)",202,256,win,0
44,"(2, 2)",174,256,win,0
45,"(2, 1)",157,256,win,0
46,"(2, 2)",154,256,win,0
47,"(2, 2)",174,256,win,0
48,"(1, 1)",410,256,win,0
49,"(1, 1)",281,256,win,0
50,"(2, 2)",199,256,win,0
